,nr,adres,typ,niep,granice
227,228,"Zespół Szkół Elektrycznych Nr 1, ul. Kamieńskiego 49, Kraków",Powszechny,Nie,"Abrahama nieparzyste, Andricia, Bławatkowa, Buraczana, Dauna, Gipsowa, Górska, Heltmana, Kadena-Bandrowskiego, Kamieńskiego od 21, Lecha, Lisa-Kuli, Lubuska, Łuczników, Macedońska 23, Malborska parzyste od 2 do 52 i nieparzyste od 1 do 63, Mieczników, Nadzieja, Nowosądecka 22,  Pańska od 1 do 42, Pierackiego, Siemomysła parzyste, Stoigniewa, Szukiewicza, Tarnowska, Uśmiech, Wielicka nieparzyste od 105 do 113, 113a, 115, Zana"
228,229,"Gimnazjum Nr 27, ul. Malborska 98, Kraków",Powszechny,Nie,"Albańska nieparzyste od 1 do 5 i parzyste od 2 do 8, Gryglewskiego, Krawiecka, Łabędzia, Makowa, Malborska nieparzyste od 65 i parzyste od 54 , Mochnackiego, Pańska od 43, Poprzeczna, Skowronia, Sławka 41, 43, 45, Sportowa, Generała Sułkowskiego, Szczęśliwa, Szkolna, Zabawa, Zmartwychwstania Pańskiego"
229,230,"Gimnazjum Nr 27, ul. Malborska 98, Kraków",Powszechny,Nie,"Andrychowska, Gromady Grudziąż, Karpińskiego, Łapanowska, Łużycka od 1 do 41c, Marcowa, Monterska, Na Łuku, Ondraszka, Ossowskiego, Podgwiezdna, Sempołowskiej, Sławka 54, 56, 58, 62, Turniejowa od 1 do 58 i 60, Wspólna od 22"
230,231,"Gimnazjum Nr 27, ul. Malborska 98, Kraków",Powszechny,Nie,"Bystra, Gminna, Jastrzębia, Klonowica, Kotsisa, Kryształowa, Pszenna, Puszkarska, Generała Roi (bez 4, 4a, 4b, 6), Sławka nieparzyste od 1 do 39 i parzyste od 2 do 52, Strumienna parzyste od 16, Wspólna od 1 do 21, Zielona"
231,232,"Zarząd Infrastruktury Sportowej, ul. Sławka 10, Kraków",Powszechny,Tak,Heila
232,233,"Zespół Szkół Ogólnokształcących Intergracyjnych Nr 7, ul. Czarnogórska 14, Kraków",Powszechny,Tak,"Białoruska 2, 4, 6, 8, 8b, 10, Czarnogórska 15, 18, Serbska 1, 3, Włoska 1, 3, 5, 7, 9, 11"
233,234,"Zespół Szkół Ogólnokształcących Integracyjnych Nr 7, ul. Czarnogórska 14, Kraków",Powszechny,Tak,"Białoruska 15, 17, 19, Lirników, Nowosądecka Nr 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 72, 74, 78, 80, 82, Poturalskiego, Trybuny Ludów"
234,235,"Zespół Szkół Ogólnokształcących Integracyjnych Nr 7, ul. Czarnogórska 14, Kraków",Powszechny,Tak,"Czarnogórska 1, 3, 5, 7, 9, 9 b, Macedońska 6, Serbska 2, 4, 14, Włoska 6, 8, 13, 15, 17, 19"
235,236,"Zespół Szkół Ogólnokształcących Integracyjnych Nr 7, ul. Czarnogórska 14, Kraków",Powszechny,Tak,"Albańska nieparzyste od 7 i parzyste od 10, Algierska, Czarnogórska 2, 4, 4 c, 6, 8, Estońska 4 i od 6 do 21, 40, Laszczki, Niepokólczyckiego, Trawniki, Włoska 6a, 8a, 8b, Wilgotna, Wolności"
236,237,"Gimnazjum Nr 28, ul. Bujaka 15, Kraków",Powszechny,Tak,"Bujaka (bez 14, 14a, 15, 16, 16a), Łowienicka, Myślenicka parzyste od 34 do 40, Pagórkowa, Stojałowskiego 3, 5, 7"
237,238,"Gimnazjum Nr 28, ul. Bujaka 15, Kraków",Powszechny,Tak,"Okopowa, Bujaka 14, 14a, 15, 16, 16a, Chmielna parzyste, Daliowa, Generała Filipowicza, Herberta (bez nr 8, 10, 12, 14), Storczykowa, Żaka"
238,239,"Gimnazjum Nr 28, ul. Bujaka 15, Kraków",Powszechny,Tak,"Porucznika Halszki, Wysłouchów 1, 1a, 3, 3a, 5"
239,240,"Gimnazjum Nr 28, ul. Bujaka 15, Kraków",Powszechny,Tak,Witosa
240,241,"Gimnazjum Nr 28, ul. Bujaka 15, Kraków",Powszechny,Tak,Turniejowa nieparzyste od 59 i parzyste od 62 (bez 72)
241,242,"Gimnazjum Nr 28, ul. Bujaka 15, Kraków",Powszechny,Tak,"Wysłouchów nieparzyste od 11 do 43, 47, 49, 49a, 51, 51a, 53, 53a, 55, Turniejowa 72"
242,243,"Szkoła Podstawowa Nr 162, ul. Stojałowskiego 31, Kraków",Powszechny,Tak,"Bojki, Wysłouchów 44, 46"
243,244,"Szkoła Podstawowa Nr 162, ul. Stojałowskiego 31, Kraków",Powszechny,Tak,Wysłouchów parzyste od 16 do 42
244,245,"Szkoła Podstawowa Nr 162, ul. Stojałowskiego 31, Kraków",Powszechny,Tak,"Stojałowskiego 9, 11 i nieparzyste od 15 do 29, Wysłouchów parzyste od 2 do 14"
245,246,"Szkoła Podstawowa Nr 55, ul. Dobczycka 20, Kraków",Powszechny,Tak,Gołaśka nieparzyste od 1 do 41
246,247,"Szkoła Podstawowa Nr 55, ul. Dobczycka 20, Kraków",Powszechny,Tak,"Beskidzka parzyste, Dobczycka, Gołaśka parzyste od 2 do 20, Przekątna, Sanocka"
247,248,"Szkoła Podstawowa Nr 55, ul. Dobczycka 20, Kraków",Powszechny,Tak,"Beskidzka nieparzyste, Harcmistrza Millana Nr 22, Madera, Malwowa, Pierzchówka nieparzyste, Przykopy 2, 6 i od 11, Tarnobrzeska, Sas-Zubrzyckiego"
248,249,"Filia Szkoły Podstwowej nr 124 ul. Sucharskiego 36, Kraków",Powszechny,Nie,"Agatowa, Ametystowa, Domagały, Magazynowa 5, Malachitowa, Nad Drwiną, Nefrytowa, Opalowa, Osiedle Kolejowe, Półłanki parzyste od 2 do 74 (bez nr 26), Taborowa, Topazowa, Złocieniowa parzyste od 28 i nieparzyste od 21"
249,250,"Szkoła Podstawowa Nr 124, ul. Weigla 2, Kraków",Powszechny,Nie,"Czarnochowicka, Flanka, Gerberowa, Grzecha, Habeli, Hiacyntowa, Hoyera, Jasieńskiego, Jędrzejczyka, Kameliowa, Kokotowska, Księdza Kusia, Kwatery, Letnia, Mogiłki, Ochocza, Okręglik, Pochwalskiego, Potrzask, Przebiśniegów, Przylaszczki, Pruszyńskiego, Schulza, Stępnia, Stolarza, Szymkiewicza, Tańskiego, Wojciecha z Brudzewa, Zarosie, Zalipki, Zarzyckiego"
250,251,"Szkoła Podstawowa Nr 124, ul. Weigla 2, Kraków",Powszechny,Nie,"Bierkowskiego, Bieżanowska parzyste od 234 do 248, Gardowskiego, Kiepury, Kluszewskiego, Kolonijna, Korepty od 1 do 22, Krzymuskiego, Kurpińskiego, Księdza Prałata Łaczka, Madejówka, Mała Góra nieparzyste, Małka, Nad Serafą, Na Jazkach, Nowaka, Potrzebowskiego, Przecinek, Rakuś, Rygiera, Smolenia, Stryjeńskiego, Szastera, Świdzińskiego, Wielicka parzyste od 248, "
251,252,"Szkoła Podstawowa Nr 124, ul. Weigla 2, Kraków",Powszechny,Nie,"Bieżanowska parzyste od 250, Bogucicka, Braci Jamków, Drożdżowa, Jaglarzów, Jakubca, Kłaka, Koprowa, Korepty od 23, Lipowskiego, Pod Pomnikiem, Księdza Popiełuszki, Pronia, Przełazek, Sucharskiego, Ślósarczyka, Świeża, Śliwy, Weigla, Zamłynie, Złocieniowa parzyste od 2 do 26 i nieparzyste od 1 do 19, Zolla"
252,253,"Szkoła Podstawowa Nr 111, ul. Bieżanowska 204, Kraków",Powszechny,Nie,"Bieżanowska nieparzyste od 155 i parzyste od 128 do 232, Bieżanów blok PKP, Bocznica, Danalówka bez Nr 37, 39, 41, Działkowa, Imielna, Komandora Wrońskiego, Laskowa, Łazy, Ogórkowa, Półłanki nieparzyste od 1 do 31e, Ripperów, Stacyjna"
253,254,"Zespół Szkół Ogólnokształcących Nr 12, ul. Telimeny 9, Kraków",Powszechny,Nie,"Barbary (bez 12), Duża Góra (bez 37, 39, 41), Mała Góra parzyste od 2 do 8, Telimeny od 1 do 4"
254,255,"Zespół Szkół Ogólnokształcących Nr 12, ul. Telimeny 9, Kraków",Powszechny,Nie,"Telimeny 20, 30a, 32 i nieparzyste od 5 do 33 (bez 31) , Opty"
255,256,"Zespół Szkół Ogólnokształcących Nr 12 ul. Telimeny 9, Kraków",Powszechny,Nie,"Ćwiklińskiej, Barbary 12, Duża Góra 37, 39, 41, Telimeny 31"
256,257,"Filia Szkoły Podstawowej Nr 24, ul. Aleksandry 19, Kraków",Powszechny,Nie,"Heleny parzyste od 2 do 20, Mała Góra parzyste od 10 do 14a"
257,258,"Szkoła Podstawowa Nr 24, ul. Aleksandry 17, Kraków",Powszechny,Nie,"Aleksandry 24, 24a, 24b, 24c, 24d, 24e, 24g, 24h, 24i, 24j, 24k, 26, 26c, 28, 38 i nieparzyste od 25, Heleny parzyste od 22, Kaimska, Mała Góra 32, Wielicka parzyste od 230 do 246"
258,259,"Szkoła Podstawowa Nr 24, ul. Aleksandry 17, Kraków",Powszechny,Nie,Mała Góra parzyste od 16 (bez nr 32)
