,nr,adres,typ,niep,granice
0,1,"Gimnazjum Nr 3, ul. Wąska 5, Kraków",Powszechny,Nie,"Dajwór parzyste od 2 do 20, Halicka (bez 21 i 22, 23), Miodowa nieparzyste od 49 do 51, Przemyska, Rzeszowska, Starowiślna nieparzyste od 77 do 99 i parzyste od 52 do 88, , Świętego Wawrzyńca nieparzyste od 39 do 41 i parzyste od 24 do 40"
1,2,"Gimnazjum Nr 3, ul.Wąska 5, Kraków",Powszechny,Nie,"Bocheńska, Bonifraterska, Gazowa, Krakowska parzyste od 42 do 52, Mostowa, Plac Wolnica, Podgórska od 11 do 16, Świętego Wawrzyńca nieparzyste od 1 do 35, Trynitarska (bez 11)"
2,3,"Staromiejskie Centrum Kultury Młodzieży Klub Środowiskowy ""Kazimierz"",ul. J. Dietla 53, Kraków",Powszechny,Nie,"Bożego Ciała nieparzyste od 5 do 31 i parzyste od 6 do 26, Estery, Izaaka, Jakuba nieparzyste od 1 do 33, Józefa nieparzyste od 1 do 21 i parzyste od 2 do 34, Krakowska parzyste od 12 do 40, Kupa, Meiselsa nieparzyste od 5 do 17 i parzyste od 12 do 24, Miodowa nieparzyste od 1 do 31, Nowa, Plac Nowy, Warszauera"
3,4,"Szkoła Podstawowa Nr 11, ul. Miodowa 36, Kraków",Powszechny,Nie,"Bartosza, Brzozowa parzyste od 12 do 22, Ciemna, Dajwór nieparzyste od 1 do 25, Jakuba parzyste od 2 do 10, Joselewicza nieparzyste od 1 do 23, Józefa nieparzyste od 23 do 33 i parzyste od 36 do 46, Lewkowa, Miodowa nieparzyste od 33 do 47 i parzyste od 32 do 48, Plac Bawół, Starowiślna nieparzyste od 47 do 75 i parzyste od 42 do 50, Szeroka, Świętego Wawrzyńca parzyste od 14 do 22, Wąska"
4,5,"Szkoła Podstawowa Nr 11, ul. Miodowa 36, Kraków",Powszechny,Nie,"Dietla nieparzyste od 77 do 115, Joselewicza parzyste od 10 do 30, Świętego Sebastiana parzyste od 26 do 36, Starowiślna nieparzyste od 29 do 45 i parzyste od 26 do 40, Wrzesińska"
5,6,"Zespół Szkół Mechanicznych Nr 4, ul. Podbrzezie 10, Kraków",Powszechny,Nie,"Bożego Ciała od 1 do 4, Brzozowa nieparzyste od 1 do 17 i parzyste od 2 do 10, Dietla nieparzyste od 43 do 75, Joselewicza parzyste od 2 do 6, Krakowska 2, Miodowa parzyste od 2 do 30, Podbrzezie, Świętego Sebastiana nieparzyste od 25 do 33"
6,7,"Szkoła Podstawowa Nr 22, ul. Chmielowskiego 1, Kraków",Powszechny,Tak,"Augustiańska nieparzyste od 7 do 21 i parzyste od 8 do 36, Chmielowskiego, Krakowska nieparzyste od 9 do 41, 49, 51, Meiselsa 1, 3 i parzyste od 2 do 10, Piekarska , Rybaki, Skałeczna, Skawińska (bez 8), Świętej Katarzyny, Węgłowa, Wietora"
7,8,"Specjalny Ośrodek Szkolno-Wychowawczy Nr 5, ul. Świętego Stanisława 12, Kraków",Powszechny,Nie,"Augustiańska od 1 do 6, Dietla nieparzyste od 1 do 41, Kordeckiego, Krakowska nieparzyste od 1 do 7 i parzyste od 4 do 10, Orzeszkowej, Paulińska 3, 5 i parzyste od 2 do 32, Świętego Stanisława"
8,9,"Gimnazjum Nr 1, ul. Bernardyńska 7, Kraków",Powszechny,Nie,"Bernardyńska, Dietla parzyste od 10 do 42, Koletek, Smocza, Stradomska nieparzyste od 1 do 27, Sukiennicza, Świętej Agnieszki"
9,10,"Gimnazjum Nr 1, ul. Bernardyńska 7, Kraków",Powszechny,Nie,"Dominikańska, Franciszkańska 2 i 4, Grodzka nieparzyste od 19 do 65 i parzyste od 2 do 64, Kanonicza, Plac Bernardyński, Plac Dominikański, Plac Świętej Marii Magdaleny, Plac Wszystkich Świętych od 3 do 5, Podzamcze od 1 do 14 , Poselska, Senacka, Sienna nieparzyste od 1 do 21d, Stolarska, Straszewskiego 1, 2, Świętej Gertrudy od 25 do 29, Zamek Wawel"
10,11,"Szkoła Podstawowa Nr 16, ul. Dietla 70, Kraków",Powszechny,Nie,"Bogusławskiego nieparzyste od 1 do 9, Dietla parzyste od 44 do 68, Sarego nieparzyste od 1 do 11, Stradomska parzyste od 2 do 18, Świętego Sebastiana nieparzyste od 1 do 23 i parzyste od 2 do 12, Świętej Gertrudy od 12 do 24"
11,12,"Szkoła Podstawowa Nr 16, ul. Dietla 70, Kraków",Powszechny,Nie,"Bogusławskiego parzyste od 2 do 10, Dietla parzyste od 70 do 76, Sarego nieparzyste od 13 do 27 i parzyste od 2 do 28, Starowiślna nieparzyste od 1 do 27, Świętego Sebastiana parzyste od 14 do 24, Świętej Gertrudy od 1 do 11"
12,13,"Urząd Miasta Krakowa, ul. Wielopole 17 A, Kraków",Powszechny,Nie,"Bonerowska, Dietla parzyste od 80 do 90, Librowszczyzna, Morsztynowska, Starowiślna parzyste od 2 do 22, Westerplatte od 17 do 20, Wielopole, Zyblikiewicza nieparzyste od 1 do 19"
13,14,"Dom Pomocy Społecznej, ul. Radziwiłłowska 8, Kraków",Powszechny,Nie,"Skłodowskiej-Curie, Kopernika nieparzyste od 1 do 9 i parzyste od 2 do 16, Lubicz nieparzyste od 1 do 9, Radziwiłłowska, Westerplatte od 1 do 16, Doktora Zamenhofa, Zyblikiewicza parzyste od 2 do 22"
14,15,"Szkoła Podstawowa Nr 1, ul. Świętego Marka 34, Kraków",Powszechny,Nie,"Floriańska, Mały Rynek, Mikołajska, Na Gródku, Pijarska nieparzyste od 19 do 23, Plac Mariacki, Plac Świętego Ducha, Sienna parzyste od 2 do 16, Szpitalna, Świętego Krzyża, Świętego Marka nieparzyste od 21 do 39 i parzyste od 20 do 34, Świętego Tomasza nieparzyste od 21 do 43 i parzyste od 18 do 34"
15,16,"Szkoła Podstawowa Nr 1, ul. Świętego Marka 34, Kraków",Powszechny,Nie,"Bracka, Franciszkańska 1 i 3, Gołębia, Grodzka nieparzyste od 1 do 17, Jagiellońska, Olszewskiego, Pijarska nieparzyste od 1 do 17 i parzyste od 2 do 10, Plac Szczepański, Plac Wszystkich Świętych od 6 do 11, Reformacka, Rynek Główny, Sławkowska, Szczepańska, Szewska, Świętego Jana, Świętego Marka od 4 do 19, Świętego Tomasza nieparzyste od 1 do 19 i parzyste od 2 do 16, Świętej Anny, Wiślna"
16,17,"I Liceum Ogólnokształcące, ul. Plac Na Groblach 9, Kraków",Powszechny,Nie,"Plac Na Groblach, Powiśle nieparzyste od 1 do 9 i parzyste od 2 do 12, Podzamcze parzyste od 20 do 26, Straszewskiego od 4 do 15, Tarłowska, Tenczyńska, Zwierzyniecka parzyste od 2 do 34"
17,18,"Szkoła Podstawowa Nr 4, ul. Smoleńsk 5/7, Kraków",Powszechny,Nie,"Aleja Krasińskiego nieparzyste od 1 do 25, Marszałka Piłsudskiego nieparzyste od 1 do 25 i parzyste od 4 do 40 , Morawskiego 2, 4, Plac Kossaka od 1 do 16, Retoryka nieparzyste od 1 do 23 i 4, 4 a , 4 b, 6, 6 a, Smoleńsk nieparzyste od 27 do 37 i parzyste od 14 do 26, Wygoda"
18,19,"Szkoła Podstawowa Nr 4, ul. Smoleńsk 5/7, Kraków",Powszechny,Nie,"Bożego Miłosierdzia, Felicjanek, Mała, Retoryka parzyste od 10 do 26, Smoleńsk nieparzyste od 3 do 25 a i parzyste od 2 do 12, Straszewskiego od 18 do 22, Zegadłowicza, Zwierzyniecka nieparzyste od 5 do 29"
19,20,"Zespół Szkół Mechanicznych Nr 1, ul. Aleja Mickiewicza 5 wejście od ul. Humberta 1, Kraków",Powszechny,Nie,"Aleja Mickiewicza nieparzyste od 1 do 23, Cybulskiego, Czarnowiejska parzyste od 4 do 8, Czysta, Dolnych Młynów parzyste od 6 do 10, Garncarska nieparzyste od 1 do 23 (bez 11), Humberta, Krupnicza nieparzyste od 23 do 37 i parzyste od 32 do 44, Marszałka Piłsudskiego nieparzyste od 27 do 29, Skarbowa (bez 1), Wenecja"
20,21,"Zespół Szkół Energetycznych, ul. Loretańska 16, Kraków",Powszechny,Nie,"Czapskich, Garncarska parzyste od 2 do 26, Jabłonowskich, Kapucyńska, Krupnicza parzyste od 2 do 30, Loretańska, Podwale, Plac Generała Sikorskiego, Straszewskiego od 23 do 29, Studencka"
21,22,"Specjalny Ośrodek Szkolno-Wychowawczy Nr 1, ul. Szujskiego 2, Kraków",Powszechny,Nie,"Aleja Mickiewicza nieparzyste od 25 do 37, Czarnowiejska nieparzyste od 1 do 25, 25 a, Dolnych Młynów nieparzyste od 3 do 11, Karmelicka parzyste od 6 do 42, Kochanowskiego nieparzyste od 1 do 7 i parzyste od 2 do 30, Krupnicza nieparzyste od 1 do 21, Michałowskiego nieparzyste od 11 do 19 i parzyste od 2 do 18, Rajska, Szujskiego"
22,23,"Specjalny Ośrodek Szkolno-Wychowawczy Nr 1, ul. Szujskiego 2, Kraków",Powszechny,Nie,"Aleja Mickiewicza nieparzyste od 41 do 63, Grabowskiego, Karmelicka parzyste od 44 do 70, Kochanowskiego nieparzyste od 9 do 25, Michałowskiego nieparzyste od 1 do 9, Pawlikowskiego"
23,24,"II Liceum Ogólnokształcące, ul. Sobieskiego 9, Kraków",Powszechny,Nie,"Aleja Słowackiego nieparzyste od 1 do 13 a, b, c, d, Feldmana, Jana Sobieskiego, Karmelicka nieparzyste od 53 do 57, Kremerowska, Lenartowicza parzyste od 2 do 14 i nieparzyste od 1 do 13, Łobzowska parzyste od 28 do 40, Siemiradzkiego"
24,25,"II Liceum Ogólnokształcące, ul. Sobieskiego 9, Kraków",Powszechny,Nie,"Aleja Słowackiego nieparzyste od 15 do 25, Krowoderska parzyste od 46 do 74, Łobzowska nieparzyste od 41 do 61, Spasowskiego, Staszica, Szlak nieparzyste od 1 do 13 i parzyste od 2 do 12, Świętej Teresy"
25,26,"Małopolskie Centrum Doskonalenia Nauczycieli Ośrodek Doskonalenia Nauczycieli w Krakowie, ul. Garbarska 1, Kraków",Powszechny,Nie,"Dunajewskiego, Garbarska, Karmelicka nieparzyste od 1 do 51, Łobzowska parzyste od 2 do 26, Stefana Batorego"
26,27,"XXVII Liceum Ogólnokształcące, ul. Krowoderska 17, Kraków",Powszechny,Nie,"Asnyka, Biskupia, Basztowa od 1 do 10, Długa parzyste od 2 do 38, Fenn`a, Krowoderska nieparzyste od 1 do 33 i parzyste od 2 do 44, Łobzowska nieparzyste od 3 do 39 a, 39 b, Słowiańska 2"
27,28,"Przedszkole Samorządowe Nr 44, ul. Żuławskiego 9, Kraków",Powszechny,Nie,"Aleja Słowackiego nieparzyste od 27 do 45, Długa parzyste od 70 do 88, Kolberga, Krowoderska nieparzyste od 61 do 79, Szlak parzyste od 14 do 18, Żuławskiego"
28,29,"X Liceum Ogólnokształcące, ul. Wróblewskiego 8, Kraków",Powszechny,Nie,"Długa nieparzyste od 31 do 55 i parzyste od 40 do 64, Krowoderska nieparzyste od 35 do 59, Pędzichów parzyste od 2 do 22, Szlak nieparzyste od 15 do 45"
29,30,"X Liceum Ogólnokształcące, ul. Wróblewskiego 8, Kraków",Powszechny,Nie,"Długa 27, 29 i nieparzyste od 57 do 65, Helclów (bez 2), Kamienna nieparzyste od 1 do 13, Montelupich (bez 7), Ogrodowa, Pędzichów nieparzyste od 1 do 27 i parzyste od 24 do 28, Szlak nieparzyste od 47 do 75 i parzyste od 20 do 42, Warszawska, Wróblewskiego"
30,31,"Gimnazjum Nr 4, ul. Rynek Kleparski 18, Kraków",Powszechny,Nie,"Basztowa od 15, Bosacka parzyste od 4 do 32 i 29, Długa nieparzyste od 1 do 23, Krótka, Krzywa, Kurniki, Lubicz parzyste od 10 do 14 a, Paderewskiego, Pawia, Plac Nowaka-Jeziorańskiego, Plac Matejki,  Rynek Kleparski, Świętego Filipa, Worcella, Zacisze"
31,32,"Szkoła Podstawowa Nr 95, ul, Wileńska 9, Kraków",Powszechny,Nie,"Aleja 29 Listopada nieparzyste od 1 do 39 i parzyste od 6 do 36, Będzińska, Biskupa Prandoty, Bosacka 13, 15, Kamienna 15, 16, 17, 19, 35, 45, Kątowa, Langiewicza, Murowana, Otwinowskiego 27, 29, Rakowicka parzyste od 18 do 30, 30 c, Rogatka, Towarowa, Wjazd, Żelazna"
32,33,"Zespół Szkół Ogólnokształcących Nr 11, ul. Wyrwińskiego 1, Kraków",Powszechny,Nie,"Aleja Płk. Beliny-Prażmowskiego nieparzyste od 53 do 71, Brodowicza parzyste od 16 a do 36, nieparzyste 13, 13 a, Eisenberga, Garczyńskiego, Generała Bema, Generała Sowińskiego, Grochowska nieparzyste, Grunwaldzka od 17, Księdza Biskupa Bandurskiego od 17, Moniuszki nieparzyste od 21 do 69 i parzyste od 20 do 48, Olszańska nieparzyste od 9 do 31 i parzyste od 12 do 34, Ordona, Orląt Lwowskich, Supniewskiego, Wilka Wyrwińskiego"
33,34,"Młodzieżowy Dom Kultury, ul. Grunwaldzka 5, Kraków",Powszechny,Nie,"Aleja Płk. Beliny-Prażmowskiego nieparzyste od 1 do 7, Generała Chłopickiego, Grunwaldzka od 1 do 10, Kielecka od 1 do 18, Misiołka, Mogilska parzyste od 22 do 102, Rymarska parzyste od 12 do 18 i 5, Zaleskiego"
34,35,"Urząd Miasta Krakowa, ul. Kasprowicza 29, Kraków",Powszechny,Nie,"Aleja Płk. Beliny-Prażmowskiego nieparzyste od 9 do 51, Brodowicza nieparzyste od 1 do 11 i parzyste od 2 do 16, Grunwaldzka od 11 do 16, Kasprowicza, Kielecka od 19, Księdza Biskupa Bandurskiego od 1 do 16, Moniuszki od 1 do 19"
35,36,"Zespół Szkół Specjalnych Nr 10, ul. Lubomirskiego 21, Kraków",Powszechny,Nie,"Aleja Płk. Beliny-Prażmowskiego parzyste od 2 do 70, Ariańska, Borowickiej, Lubicz parzyste od 44 do 48, Lubomirskiego 2 i od 19, Mogilska parzyste od 2 do 20, Olszańska nieparzyste od 1 do 7a i parzyste od 2 do 10, Rakowicka nieparzyste od 27 do 43, 43A, Topolowa nieparzyste od 25 do 35 i parzyste od 32 do 52"
36,37,"Szkoła Podstawowa Nr 3, ul. Topolowa 22, Kraków",Powszechny,Nie,"Botaniczna, Bosacka nieparzyste od 5 do 11, Kopernika nieparzyste od 13 do 31( bez 19d) i parzyste od 22 do 50 ( bez 36), Kurkowa, Lubicz nieparzyste od 13 do 29 i parzyste od 16 do 42, Lubomirskiego nieparzyste od 1 do 15, Rakowicka od 1 do 25 (bez 18, 20, 22, 24), Strzelecka , Topolowa nieparzyste od 1 do 23 i parzyste od 2 do 30, Zygmunta Augusta"
37,38,"Zespół Szkół Ogólnokształcących Mistrzostwa Sportowego, ul. Grochowska 20, Kraków",Powszechny,Nie,"Bolesława Chrobrego od 1 do 23, Domki, Grochowska parzyste, Idzikowskiego, Jaworskiego, Księdza Ignacego Jana Skorupki, Na Wiankach, Norwida, Rakowicka nieparzyste od 45 do 99, Rusałek"
38,39,"Zespół Szkół Ogólnokształcących Mistrzostwa Sportowego, ul. Grochowska 20, Kraków",Powszechny,Nie,"Bolesława Chrobrego od 24, Bratkowa, Cieplińskiego, Droga Nad Białuchą, Dukatów, Farmaceutów, Kąt, Kryniczna, Lesista, Lotnicza nieparzyste od 1 do 13 i parzyste od 2 do 22, Łukasiewicza, Nadbrzeżna, Narzymskiego nieparzyste od 1 do 23 i parzyste od 2 do 32, Olszyny, Otwinowskiego (bez nr 27, 29), Stokrotek"
39,40,"Gimnazjum Nr 7, ul. Jachowicza 5, Kraków",Powszechny,Nie,"Aleja Pokoju parzyste od 20 do 32, Dąbska, Jachowicza, Kosynierów, Mogilska 109, Nizinna, Świtezianki, Zwycięstwa"
40,41,"Gimnazjum Nr 7, ul. Jachowicza 5, Kraków",Powszechny,Nie,"Aleja Pokoju 31 b, nieparzyste od 37 do 45, Na Szaniec nieparzyste od 1 do 23, Widok parzyste od 2 do 12"
41,42,"Szkoła Podstawowa Nr 18, ul. Półkole 11, Kraków",Powszechny,Nie,"Bajeczna, Grzegórzecka nieparzyste od 117 do 119 a, Na Szaniec parzyste od 2 do 14, Miedziana, Ofiar Dąbia"
42,43,"Szkoła Podstawowa Nr 18, ul. Półkole 11, Kraków",Powszechny,Nie,"Półkole, Widok nieparzyste od 5 do 41 i parzyste od 14 do 22 a"
43,44,"Szkoła Podstawowa Nr 38, ul. Pułkownika Nullo 23, Kraków",Powszechny,Nie,"Bobrowskiego, Pułkownika Nullo nieparzyste od 3 do 7 i parzyste od 4 do 6, 8A,  Aleja Pokoju nieparzyste od 1 do 23, 27 a, b i 29, 29 a, 29 b, "
44,45,"Szkoła Podstawowa Nr 38, ul. Pułkownika Nullo 23, Kraków",Powszechny,Nie,"Aleja Pokoju parzyste od 10 do 12, Pułkownika Nullo nieparzyste od 13 do 23 i parzyste od 10 do 20"
45,46,"Szkoła Podstawowa Nr 38, ul. Pułkownika Nullo 23, Kraków",Powszechny,Nie,"Aleja Pokoju parzyste od 14 do 18, Cystersów, Fabryczna nieparzyste od 15 do 25 i parzyste od 8 do 20 a, Mogilska nieparzyste od 11 do 81, Mosiężnicza, Przy Rondzie 7, 53, 55"
46,47,"XIII Liceum Ogólnokształcące, ul. Sądowa 4, Kraków",Powszechny,Nie,"Fabryczna nieparzyste od 1 do 3 parzyste od 2 do 6, Grzegórzecka parzyste od 72 do 104 i nieparzyste od 67 do 101, Rogozińskiego, Skrzatów, Żółtej Ciżemki"
47,48,"XIII Liceum Ogólnokształcące, ul. Sądowa 4, Kraków",Powszechny,Nie,"Aleja Pokoju parzyste od 2 do 8, Aleja Powstania Warszawskiego parzyste, Kordylewskiego, Profesora Szafera, Przy Rondzie 2, Sądowa 4 i nieparzyste od 1 do 9"
48,49,"VIII Liceum Ogólnokształcące, ul. Grzegórzecka 24, Kraków",Powszechny,Nie,"Aleja Powstania Warszawskiego nieparzyste, Blich, Bujwida, Generała Dwernickiego, Generała Sołtyka, Grzegórzecka parzyste od 4 do 40, Hetmana Żółkiewskiego, Kołłątaja (bez 7), Śniadeckich , Świętego Łazarza"
49,50,"VIII Liceum Ogólnokształcące, ul. Grzegórzecka 24, Kraków",Powszechny,Nie,"Aleja Daszyńskiego parzyste od 12 do 32, Chodkiewicza, Grzegórzecka nieparzyste od 7 do 51, Masarska 3, 6, 6A, 7, 8, Pola, Prochowa, Rzeźnicza nieparzyste od 1 do 35"
50,51,"Zespół Szkół Zawodowych Nr 1, ul. Rzeźnicza 4, Kraków",Powszechny,Nie,"Gęsia, Kotlarska, Masarska 9, 14, 16, Rzeźnicza parzyste od 2 do 20, Semperitowców"
51,52,"Szkoła Podstawowa Nr 10, ul. Księdza Blachnickiego 1, Kraków",Powszechny,Tak,"Aleja Daszyńskiego nieparzyste od 7 do 29, Halicka 21, 22, 23, Księdza Blachnickiego, Księdza Gurgacza, Metalowców, Miodowa 53, 55, 55 a, Podgórska 28, Siedleckiego, Wiślisko"
52,53,"Filia Przedszkola Samorządowego Nr 162, ul. Duchacka 3, Kraków",Powszechny,Nie,"Aleja 29 Listopada nieparzyste od 71 do 93, Celarowska nieparzyste, Duchacka, Fertnera, Generała Prądzyńskiego nieparzyste, Sadowa, Wiśniowa"
53,54,"Szkoła Podstawowa Nr 95, ul. Wileńska 9, Kraków",Powszechny,Nie,"Aleja 29 Listopada  nieparzyste od 41 do 69 i parzyste od 38 do 86 ( bez Nr 70), Generała Prądzyńskiego parzyste, Klemensiewicza, Wileńska, Zaułek Wileński"
54,55,"Szkoła Podstawowa Nr 95, ul. Wileńska 9, Kraków",Powszechny,Nie,"Aleja 29 Listopada 70, Celarowska parzyste, Czerwona, Żmujdzka parzyste od 2 do 16 a i nieparzyste od 1 do 23, Żytnia"
55,56,"Szkoła Podstawowa Nr 95, ul. Wileńska 9, Kraków",Powszechny,Nie,"Błękitna, Brogi nieparzyste, Czerwonego Prądnika, Gdańska, Nadrzeczna, Pogodna, Radomska, Trębacza, Żułowska"
56,57,"Śródmiejski Ośrodek Kultury Klub Muzyki Współczesnej ""Malwa"", ul. Dobrego Pasterza 6, Kraków",Powszechny,Nie,"Aleja 29 Listopada nieparzyste od 95 do 145 i parzyste od 88 do 154, Białych Brzóz, Chlebowa, Ciołkowskiego, Combrowa, Dobrego Pasterza parzyste od 2 do 88 i nieparzyste od 1 do 103, Dominikanów, Jasnorzewskiej, Jezuitów, Lublańska 11a, 15, Na Barciach, Nabielaka, Nad Strugą 7, 17, Ostroroga, Pocieszka, Powstańców 26, Rezedowa, Rokitniańska, Rybianka, Szklana, Świętego Andrzeja Boboli, Woronicza"
57,58,"Przedszkole Samorządowe Nr 178, ul. Sudolska 3, Kraków",Powszechny,Nie,"Łepkowskiego, Majora Nuszkiewicza"
58,59,"Przedszkole Samorządowe Nr 178, ul. Sudolska 3, Kraków",Powszechny,Nie,Majora
59,60,"Gimnazjum Nr 9, ul. Kazimierza Odnowiciela 2, Kraków",Powszechny,Nie,"Bitschana, Boznańskiej, Dziedzica, Kazimierza Odnowiciela, Olszecka, Promienistych"
60,61,"Gimnazjum Nr 9, ul. Kazimierza Odnowiciela 2, Kraków",Powszechny,Nie,"Dobrego Pasterza parzyste od 102 do 110, 112, 112 a, 114, 114 a, i nieparzyste od 105 do 123, Łuszczkiewicza, Naczelna, Sudolska"
61,62,"Szkoła Podstawowa Nr 2, ul. Strzelców 5a, Kraków",Powszechny,Nie,"Liliowa, Powstańców nieparzyste od 1 do 115 A i parzyste 14, 20, 22, 36, 38, 40, 42, 44, 46, 52, 52A, Strzelców 15 a, 15 b, 17 a"
62,63,"Szkoła Podstawowa Nr 2, ul. Strzelców 5a, Kraków",Powszechny,Nie,"Strzelców (bez 15 a, 15 b, 17 a), Reduta 5, 6, 9, 9A, 11, 11A"
63,64,"Szkoła Podstawowa nr 2, ul. Strzelców 5, Kraków",Powszechny,Nie,Powstańców parzyste od 30 do 34 a
64,65,"Szkoła Podstawowa nr 2, ul. Strzelców 5a, Kraków",Powszechny,Nie,"Antyczna, Bachledy, Kwartowa, Marchołta, Pana 
Cogito, Reduta 31, Rozrywka, Sabały"
65,66,"Szkoła Podstawowa nr 2, ul. Strzelców 5a,  Kraków",Powszechny,Nie,"Aliny, Balladyny, Aleja Gen.Bora-Komorowskiego 9, 9a, 15, 15a, b, 17, 23, 33 Brzechwy, Dobrego Pasterza parzyste od 118 do 122 i nieparzyste od 125, Harnasiów, Janosika, Krzesławicka (bez 2 a, 2 b), Liryczna, Nikifora, Słoneckiego"
66,67,"Szkoła Podstawowa Nr 64, ul. Sadzawki 1, Kraków",Powszechny,Nie,"Dzielskiego, Młyńska Boczna 3, 5, 7, 9, XX Pijarów"
67,68,"Szkoła Podstawowa Nr 64, ul. Sadzawki 1, Kraków",Powszechny,Nie,"Akacjowa (bez 10, 12), Cieślewskiego parzyste, Pszona, Pilotów nieparzyste od 53 do 97 i parzyste od 20 a do 68, Ułanów nieparzyste od 33 do 63 i parzyste od 52 do 80, Wysoka"
68,69,"Przedszkole Samorządowe Nr 14, ul. Młyńska Boczna 4, Kraków",Powszechny,Nie,"Młyńska Boczna 4, Młyńska parzyste od 2 do 14, Sadzawki"
69,70,"Stołeczna Szkoła Podstawowa Nr 7 Społeczne Gimnazjum Nr 8, ul. Stanisława ze Skalbmierza 7, Kraków",Powszechny,Nie,"Brogi parzyste, Dobra, Jaśminowa, Kanonierów, Mieszka I, Partyzantów, Piękna, Pilotów 2, 2a, 2b, 2c, 2d, 4, Ptasia, Saperów, Sokołowskiego, Szwoleżerów"
70,71,"Stołeczna Szkoła Podstawowa Nr 7 Społeczne Gimnazjum nr 8, ul. Stanisława ze Skalbmierza 7, Kraków",Powszechny,Nie,"Bohaterów Wietnamu, Miechowity parzyste od 8 do 10 i 18, Młyńska 5, 7, 7 a, 9, 156, Pilotów parzyste od 6 do 20, Stanisława ze Skalbmierza"
71,72,"Stołeczna Szkoła Podstawowa Nr 7 Społeczne Gimnazjum nr 8, ul. Stanisława ze Skalbmierza 7, Kraków",Powszechny,Nie,"Bosaków, Czereśniowa, Lublańska parzyste od 6 do 20 , Malawskiego, Miechowity od 1 do 6, Olsztyńska, Środkowa, Turkusowa, Wieniawskiego"
72,73,"Stołeczna Szkoła Podstawowa Nr 7 Społeczne Gimnazjum nr 8, ul. Stanisława ze Skalbmierza 7, Kraków",Powszechny,Nie,"Lublańska parzyste od 22 do 30, Miechowity nieparzyste od 7 do 21, Młyńska 11"
73,74,"Szkoła Muzyczna I Stopnia Nr 1, ul. Pilotów 51, Kraków",Powszechny,Nie,"Bajana, Chałupnika, Kajty, Krzywoń, Majowa, Meissnera 4, 6 i 20, Nieznana, Pilotów nieparzyste od 1 do 51, Podmiejska, Raciborskiego, Rozmarynowa, Startowa, Swojska, Widna, Wiejska, Żwirki i Wigury"
74,75,"Zespół Szkół Ogólnokształcących nr 9, ul. Seniorów Lotnictwa 5, Kraków",Powszechny,Tak,"Fiołkowa, Spadochroniarzy, Ugorek parzyste od 2 do 4, Ułanów nieparzyste od 17 do 31 i parzyste od 46 do 48, Seniorów Lotnictwa"
75,76,"Zespół Szkół Ogólnokształcących nr 9, ul. Seniorów Lotnictwa 5, Kraków",Powszechny,Tak,Ugorek parzyste od 6 do 20
76,77,"Zespół Szkół Nr 1, ul. Ułanów 3, Kraków",Powszechny,Nie,"Ugorek nieparzyste od 1 do 3, Ułanów nieparzyste od 7 do 15 i parzyste od 16 do 42, Włodkowica nieparzyste od 1 do 7"
77,78,"Zespół Szkół Nr 1, ul. Ułanów 3, Kraków",Powszechny,Nie,"Janickiego, Łąkowa, Meissnera nieparzyste 17, 21, 33, 35 i parzyste od 2 do 10 (bez 4, 6) i 14, Nieduża, Ułanów nieparzyste od 1 do 5, 5 a i parzyste od 2 do 14, Włodkowica parzyste od 2 do 8"
78,79,"Szkoła Podstawowa Nr 114, ul. Łąkowa 31, Kraków",Powszechny,Tak,"Śliczna, Kantora, Meissnera 32"
79,80,"Szkoła Podstawowa Nr 114, ul. Łąkowa 31, Kraków",Powszechny,Tak,"Aleja Jana Pawła II parzyste od 2 do 60, 62, 62a, 62 b, 64, 66, 68 i nieparzyste 11, 13, 19A, Czyżyńska (bez 21), Ładna, Meissnera nieparzyste od 1 do 15 i parzyste od 34 do 48, Mogilska nieparzyste od 101 do 121 a, b, c, d, e, f, g, h, i, j, k, 127 f, bez nr 109,  parzyste od 104, Ogrodnicza, Ostatnia, Szenwalda, Szkółkowa"
80,81,"Szkoła Podstawowa Nr 51, ul. Stawowa 179, Kraków",Powszechny,Nie,"Budrysów, Dziewanny, Starego Dębu, Margaretek, Na Polach, Na Wyrębę, Nawojowska, Ojcowska, Okrężna, Pasternik parzyste, Pejzażowa, Stawowa parzyste od Nr 180 i nieparzyste od Nr 189 , Szarotki, Zaborska, "
81,82,"Szkoła Podstawowa Nr 51, ul. Stawowa 179 Kraków",Powszechny,Nie,"Biskupa Gawliny, Chełmońskiego od 70A, Chmurna, Dzielna, Generała Kiwerskiego, Generała Kukiela, Generała Olszyny-Wilczyńskiego, Generała Pełczyńskiego, Hoża, Jasnogórska, Kaczmarczyka, Kalenkiewicza, Kasznicy, Lazurowa, Piaskowa, Radzikowskiego parzyste od 150 (bez 166, 168), Słotna, Smętna, Sosnowiecka, Stawowa, parzyste od 18 do 178 i nieparzyste od 55 do 181 , Stelmachów od 34 do 442, Śmiała, Tumanowicza, Waleczna"
