,granice,nr,lat,lon
103,"danka, grochowiaka, nad sudo³em od 12 do 30, pachoñskiego 8, 14, 14a, 16, 18",104,50.0937345,19.9270169
104,"bliska, bukietowa, jordanowska, na cha³upkach, nad sudo³em 6, 8, 10, nawigacyjna, owsiana, pachoñskiego 2,2b, 4, 4a, 5, 6, 6a, pêkowicka (bez 77 i 204), pó³nocna, skrajna, stelmachów parzyste 18 do 24, tomkowicza, vetulaniego, wewnêtrzna, w³adys³awa ³okietka od 83 do 124, wyki",105,50.0917283,19.9164977
105,"krowoderskich zuchów parzyste 12,14, 18, 20, opolska",106,50.0893047,19.9305073
106,"batalionu ""ska³a"" ak, krowoderskich zuchów 23, 24, 25, 26, 28",107,50.0891292,19.9229124
107,"kluczborska, krowoderskich zuchów 4,11,13,15, 15a,15c,17,19",108,50.0870581,19.9335768
108,"krowoderskich zuchów 3, 3 a, 5, 7, 9, wybickiego 2",109,50.08551689999999,19.930246
109,"rusznikarska nieparzyste od 1 do 11, w³adys³awa ³okietka nieparzyste od 47 do 59, wybickiego 14, 16",110,50.084395,19.9262099
110,"rusznikarska 6, 8, 10, 10 b, 12, 12 a,12 b, 13,13b, 14, 14 a, 15, 16, 18, 20, 21, rusznikarska - deptak, wybickiego 1, 1 b, 3, 3 a, 5, 10",111,50.085043,19.927218
111,"astrowa, azaliowa, chabrowa, frycza, gaik, genera³a paszkowskiego, gospodarska, gryczana, jêczmienna, jurajska, kaczorówka, konopna, lniana, maciejkowa, miêtowa, na budzyniu, na mostkach, na zielonki, orlich gniazd, pêkowicka 77 i 204, potoczek, poziomkowa, skotnica, waliszewskiego, w³adys³awa ³okietka od 126, zefirowa",112,50.1081489,19.8977166
112,"arsena³, banacha, belwederczyków, bibicka, do¿ynkowa bez 61 , dró¿nicka, g³ogowa, górka narodowa, górnickiego parzyste od 28 i nieparzyste od 37, ko³o bia³uchy, koralowa, nowa górka, okulistów, osiedle witkowice nowe, porzeczkowa, potockiego, rysiewicza, siewna parzyste od 52, 25 i 25 a, suche ³¹ki, turowiec, urodzajna, w¹dó³, wiitkowicka, zielone wzgórze",113,50.1045724,19.8659249
