,granice,nr,obwody2006
346,"aleja pokoju nieparzyste od 51 do 57, cichociemnych ak, ciep³ownicza, cuplowa, do wis³y, habina, isep, longinusa podbipiêty nieparzyste do 55a (bez 15) i parzyste do 90b, ³êgowa, na za³êczu, niepokalanej panny marii, niepo³omska, odmêtowa parzyste od 88b, 107, og³êczyzna, osiedle, plac b³onie-beszcz, podleska, sierpowa, siwka, skrêcona, sochy, strêcka, szafrañska, wiklinowa, zajêcza, zapusta",347,"[[312, 0.24169986719787517], [71, 0.09398496240601503], [260, 0.08095238095238096]]"
347,"osiedle akademickie, skar¿yñskiego",348,"[[313, 0.5714285714285714], [364, 0.5507246376811594], [354, 0.5454545454545454]]"
348,"czaplickiego, osiedle kombatantów od 1 do 15",349,"[[314, 0.8108108108108109], [335, 0.6285714285714286], [400, 0.6216216216216216]]"
354,"osiedle oœwiecenia 40, 42, 43 i od 46",355,"[[320, 0.6976744186046512], [319, 0.6923076923076923], [322, 0.6567164179104478]]"
355,"arcta, osiedle oœwiecenia od 35 do 39, 41",356,"[[322, 0.7323943661971831], [321, 0.725], [319, 0.7073170731707317]]"
371,"osiedle mistrzejowice 14, osiedle piastów od 12 do 17a, 29, 34, 34a",372,"[[336, 0.6029411764705882], [321, 0.5849056603773585], [338, 0.5636363636363636]]"
372,"osiedle mistrzejowice 13, osiedle piastów od 18 do 28",373,"[[322, 0.6265060240963856], [335, 0.6075949367088608], [394, 0.6075949367088608]]"
375,"dziekanowicka, osiedle piastów od 54, powstañców nieparzyste od 121 do 129 i parzyste od 54 do 64",376,"[[340, 0.6507177033492823], [45, 0.6051282051282051], [43, 0.6037735849056604]]"
380,"króla, osiedle na lotnisku 3 i od 7 do 18a",381,"[[344, 0.7857142857142857], [343, 0.7058823529411765], [354, 0.6216216216216216]]"
384,"bogusza, osiedle strusia od 13 do 20",385,"[[345, 0.7868852459016393], [347, 0.7741935483870968], [348, 0.75]]"
392,"d¹browskiej od 17 do 17i, osiedle albertyñskie 1, 2 i od 31 do 38",393,"[[356, 0.75], [355, 0.6194690265486725], [354, 0.5979381443298969]]"
396,"batalionu ""/parasol""/, osiedle przy arce od 20 do 26",397,"[[358, 0.611764705882353], [359, 0.5813953488372093], [360, 0.5686274509803921]]"
397,"fatimska, szybka",398,"[[79, 0.375], [390, 0.3333333333333333], [58, 0.32653061224489793]]"
399,"genera³a okulickiego nieparzyste od 49 do 59, ³opackiego, obroñców krzy¿a 1, osiedle z³otej jesieni (bez 1)",400,"[[237, 0.5108695652173914], [233, 0.484472049689441], [287, 0.47619047619047616]]"
400,"osiedle jagielloñskie od 1 do 8, 27, 37",401,"[[394, 0.7076923076923077], [354, 0.704225352112676], [388, 0.676923076923077]]"
404,"el¿biety ³okietkówny, osiedle kazimierzowskie od 18 do 25",405,"[[364, 0.6739130434782609], [366, 0.6140350877192983], [365, 0.5945945945945946]]"
419,osiedle hutnicze,420,"[[398, 0.8], [381, 0.7441860465116279], [391, 0.7272727272727273]]"
423,"biskupa tomickiego 3, 5, osiedle centrum e od 1 do 25",424,"[[385, 0.8], [380, 0.6172839506172839], [389, 0.6172839506172839]]"
424,"osiedle m³odoœci 9, 10, 11, osiedle na skarpie od 1 do 20 i od 47 do 64",425,"[[384, 0.6519337016574586], [319, 0.5892857142857143], [386, 0.5815602836879432]]"
435,"osiedle zgody, seiferta",436,"[[397, 0.7222222222222222], [383, 0.6153846153846154], [399, 0.5945945945945946]]"
437,"ludŸmierska, osiedle teatralne od 8 do 24, od 34 do 35,",438,"[[403, 0.7706422018348624], [402, 0.7368421052631579], [392, 0.6236559139784946]]"
